,Playlist,Followers,Songs,Genre 1,Genre 2,URI,Song URI,Popularity,Artist Name,Song Name
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:6B2Uwx4edHAudfLdL82tlT,58,Toosii,Lonely
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:76Nm6QNruFMrQc3HWTfreR,59,Lil Durk,IYKYK (feat. Ella Mai & A Boogie Wit Da Hoodie)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:67v2UHujFruxWrDmjPYxD6,70,Doechii,Persuasive (with SZA)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:4rrYukNTU685ZS3BGRaP5e,53,Mozzy,"Wouldn't Be Us (with YG, Blxst)"
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:2RWHnUfoeI5RPU3EINDl3R,58,Kid Ink,Dead Wrong
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:46cBzfiGyZetFFC9P9LATk,52,Rexx Life Raj,Settled (feat. Russ)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:5IVPl9SbDAe28LCRHBNpBa,60,Rae Sremmurd,Community D**k (feat. Flo Milli)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:2u73qt5DYi05CuJfZDsB4A,50,FRVRFRIDAY,FLYLIKEDIS
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:3s4xbg1cTfkfmJF4J8njSx,41,Moslikely,Windows Down
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:5gjBw5k3DKHkylViPcVs1b,50,YK Osiris,BE MY GIRL
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:1MxRCvO6DSOXMWQPxuOxY3,40,KAS,Soul Ties
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:107u1om4m4zTfzWx4BtW6R,55,Phora,Dangerous
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:1gHamNXNt8OjoynRvGhg1a,53,Kalan.FrFr,Pull Up
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:17GwUSpTy04lYWHHmwMvTD,66,YoungBoy Never Broke Again,My Go To (feat. Kehlani)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:65RuMTQsaooIJInitg18O4,51,Morray,Ticket
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:5XFoaqV1Z8XaLJidchVWhh,75,Kid Cudi,love.
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:5cEd8xWXyqhpuCDUXQOyE3,57,Joey Bada$$,Survivors Guilt
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:5p6WK11tEr3Obm8aAYA88l,44,2FeetBino,Ungrateful
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:50sW2uaLMBRDQV9hNjhA2q,51,The Game,"Universal Love (Feat. Chris Brown, Chlöe & Cassie)"
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:6MxRsNdqWgJDiXfSFGlelp,47,Eli Sostre,Bad Thing
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:22Xi8off2rIqT1kwTZXKPW,57,Coi Leray,The One (Sprite Limelight)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:0Ls2AaWYmU2LRzWAmFdlkc,70,Bankrol Hayden,Deep End (feat. Lil Skies)
